GDP_percapitaUSD,Life_exp,Ext_debt,Age_dep_ratio,Population,CBR,Access_fuels_cooking,Access_electricity,infant_mortality,neonatal_deaths
2162.633734,53.60003332,98335333958,85.25069823,218541212,36.7265,16.8,59.5,70.6,276463
93.39704772,37.371,836680592.1,79.63657377,44928342,46.107,0,2,202.2508936,140975.572
97.42096828,37.673,836680592.1,79.60358396,45855507,46.243,0.1,3,200.3859762,143289.3341
104.8527493,37.809,836680592.1,79.67981566,46821845,46.426,0.1,4,198.5210588,145603.0963
108.0157416,38.192,836680592.1,80.00373614,47822569,46.421,0.1,4,196.6561414,147916.8585
113.6583753,38.415,836680592.1,80.63972115,48856332,46.463,0.1,4,194.791224,150230.6207
117.6653708,38.68,836680592.1,81.22036069,49925799,46.467,0.2,5,193.9,152544.3829
124.7918564,38.797,836680592.1,81.61705089,51020296,46.514,0.2,5,189.6,154858.1451
99.85740444,37.573,836680592.1,82.01869459,52106681,46.527,0.2,6,185.3,157171.9073
97.74452712,38.482,836680592.1,82.42258294,53210119,46.566,0.2,6,181.2,159485.6695
122.0424175,38.718,836680592.1,82.837666,54360750,46.598,0.3,6,176.9,170155
225.7739995,39.713,836680592.1,83.22856436,55569264,46.685,0.3,7,172.7,171232
161.5439014,40.48,960364871.1,83.67856918,56837614,46.971,0.3,8,168.2,172023
210.9954798,41.273,1081759365,84.22017081,58173834,47.099,0.4,10,163.5,173495
254.3873472,42.011,1778977496,84.79280837,59605446,47.289,0.4,12,158.4,174387
406.2701421,42.791,1880722152,85.41362933,61157931,47.787,0.4,13,153.4,175628
441.9785958,43.662,1687175642,86.068847,62851312,48.079,0.4,14,148.5,178005
561.5500999,44.721,1337791872,86.7487963,64658315,48.051,0.4,15,143.6,179907
541.156246,45.558,3146444250,87.4050411,66589655,48.133,0.4,15,139.1,180809
532.2174337,46.019,5091168448,88.08014712,68633344,48.223,0.4,16,135,182339
667.9817219,46.215,6244582441,88.78618402,70750307,47.881,0.4,16,131.3,184219
880.0619837,46.349,8938210283,89.42514174,72951439,47.476,0.4,18,128.4,184408
2187.886436,46.493,11445499562,90.09292848,75175387,47.069,0.4,18,126,184643
1844.849844,46.513,11992466650,90.82694712,77388067,46.705,0.5,19,124.3,184968
1223.603921,46.638,17576996153,91.59178761,79351586,46.516,0.5,19,123.1,185782
903.4493516,46.55,17783310907,92.24697384,81337553,45.824,0.5,19,122.7,187839
882.2827027,46.317,18655375059,92.70525925,83585251,45.189,0.5,19,122.7,186986
638.7316957,45.975,22215781654,93.00033627,85804185,44.562,0.5,20,123,187944
598.2909687,46.018,29024891233,93.07008925,88044187,44.115,0.5,20,123.5,189300
549.5037556,46.072,29624118543,92.92770759,90351467,43.873,0.5,22,124,192072
474.4569001,46.182,30121991493,92.61771669,92744064,44,0.5,23,124.3,196291
567.5179022,46.037,33458483418,92.14907834,95214257,43.791,0.5,23,124.3,202348
609.3731283,45.691,33526931287,91.62820401,97685360,43.671,0.5,24,124.2,207187
519.6358475,45.668,29018663728,91.06590955,100182045,43.655,0.5,27.1,123.9,212299
551.8929192,45.788,30699263746,90.40623159,102775465,43.745,0.6,36.0994606,123.5,217831
762.3987332,45.513,33092276818,89.72114338,105456121,43.809,0.6,36.96364594,123,223920
