Life_exp,GDP_per_capita,Ext_debt,Age_dep_ratio,Population,CBR,Access_fuels_cooking,Access_electricity,infant_mortality,neonatal_deaths
46.493,2187.886436,11445499562,90.09292848,75175387,47.069,0.4,18,126,184643
46.513,1844.849844,11992466650,90.82694712,77388067,46.705,0.5,19,124.3,184968
46.638,1223.603921,17576996153,91.59178761,79351586,46.516,0.5,19,123.1,185782
46.55,903.4493516,17783310907,92.24697384,81337553,45.824,0.5,19,122.7,187839
46.317,882.2827027,18655375059,92.70525925,83585251,45.189,0.5,19,122.7,186986
45.975,638.7316957,22215781654,93.00033627,85804185,44.562,0.5,20,123,187944
46.018,598.2909687,29024891233,93.07008925,88044187,44.115,0.5,20,123.5,189300
46.072,549.5037556,29624118543,92.92770759,90351467,43.873,0.5,22,124,192072
46.182,474.4569001,30121991493,92.61771669,92744064,44,0.5,23,124.3,196291
46.037,567.5179022,33458483418,92.14907834,95214257,43.791,0.5,23,124.3,202348
45.691,609.3731283,33526931287,91.62820401,97685360,43.671,0.5,24,124.2,207187
45.668,519.6358475,29018663728,91.06590955,100182045,43.655,0.5,27.1,123.9,212299
45.788,551.8929192,30699263746,90.40623159,102775465,43.745,0.6,36.0994606,123.5,217831
45.513,762.3987332,33092276818,89.72114338,105456121,43.809,0.6,36.96364594,123,223920
45.487,1302.550052,34094439060,89.09152041,108187610,43.744,0.6,37.82646942,122.2,229981
45.567,1673.906146,31414754639,88.52484581,110956183,43.515,0.6,38.68725204,121.1,234805
45.792,1765.078768,28467535604,87.96950343,113791181,43.154,0.6,39.5453186,119.6,237948
46.036,1871.756057,30313714708,87.43182076,116690527,42.87,0.6,40.39998245,117.6,239496
46.614,494.1292273,29095550937,87.03978909,119695565,43.249,0.6,41.25056839,115.2,240679
47.193,563.0470862,33514256077,86.8835229,122851984,43.5,0.6,44.9,112.4,244861
47.619,583.0858388,34976644764,86.9198309,126152678,43.563,0.6,43.17996979,109.6,247770
47.928,733.5378887,36779630348,87.11064193,129583026,43.563,0.6,43.91169739,106.6,248904
48.441,786.8022148,41856858871,87.41564172,133119801,43.408,0.7,44.63488007,103.7,249088
48.767,992.7453991,45910626686,87.74206084,136756848,43.151,0.7,52.2,100.8,248424
49.297,1250.406913,34608131315,88.1012518,140490722,43.075,0.8,46.08362961,97.9,247072
49.73,1652.154002,18576099579,88.51555428,144329764,42.884,0.9,46.82321548,95,247487
50.033,1876.413033,21952953677,88.92249189,148294028,42.721,1,47.58205414,92.4,247792
50.225,2227.790349,22663245893,89.3165524,152382506,42.681,1.2,50.13091943,89.9,249335
50.712,1883.887783,25062797640,89.67433403,156595758,42.419,1.4,50.3,87.8,252752
50.945,2280.111289,28262197009,89.94405831,160952853,42.094,1.6,49.96892166,86,255350
51.357,2504.879101,32377423146,90.1298974,165463745,41.798,1.9,48,84.4,257926
51.497,2728.022788,36981904539,90.25184642,170075932,41.241,2.4,55.9,83.2,261136
